title,link,published,clean_title,word_count,sentiment
Japan to help US build major gas pipeline in Alaska — Trump,https://tass.com/world/2079557,"Sat, 31 Jan 2026 02:57:58 +0300",Japan to help US build major gas pipeline in Alaska  Trump,11,0.0625
Venezuela and India strengthen strategic cooperation — Rodriguez,https://tass.com/world/2079555,"Sat, 31 Jan 2026 02:56:50 +0300",Venezuela and India strengthen strategic cooperation  Rodriguez,7,0.0
"State Department approves sale of $5.7 billion of armored vehicles, helicopters to Israel",https://tass.com/world/2079553,"Sat, 31 Jan 2026 02:55:58 +0300",State Department approves sale of 57 billion of armored vehicles helicopters to Israel,13,0.0
Abandoning New START carries too many risks for US — The American Conservative,https://tass.com/world/2079551,"Sat, 31 Jan 2026 02:55:26 +0300",Abandoning New START carries too many risks for US  The American Conservative,12,0.21212121212121213
"US duties play important role in conflict resolution, says Trump",https://tass.com/world/2079549,"Sat, 31 Jan 2026 02:18:18 +0300",US duties play important role in conflict resolution says Trump,10,0.4
Trump says attracted $18 trillion in investment per year against $1 trillion under Biden,https://tass.com/world/2079547,"Sat, 31 Jan 2026 02:17:19 +0300",Trump says attracted 18 trillion in investment per year against 1 trillion under Biden,14,0.0
Trump hopes US Supreme Court monitors results of his tariff policy,https://tass.com/world/2079543,"Sat, 31 Jan 2026 01:55:49 +0300",Trump hopes US Supreme Court monitors results of his tariff policy,11,0.0
Trump not to back down from trying to get Greenland — Jeffrey Sachs,https://tass.com/world/2079539,"Sat, 31 Jan 2026 01:16:50 +0300",Trump not to back down from trying to get Greenland  Jeffrey Sachs,12,-0.07777777777777778
Western intelligence agencies find no evidence of Iran's creation of nuclear weapons — NYT,https://tass.com/world/2079537,"Sat, 31 Jan 2026 01:09:47 +0300",Western intelligence agencies find no evidence of Irans creation of nuclear weapons  NYT,13,0.0
Netherlands ruling coalition declares Russia ‘key security threat’,https://tass.com/world/2079535,"Sat, 31 Jan 2026 00:23:38 +0300",Netherlands ruling coalition declares Russia key security threat,8,0.0
Russian military-technical cooperation with Africa returns to level seen during Soviet era,https://tass.com/defense/2079533,"Fri, 30 Jan 2026 23:59:12 +0300",Russian militarytechnical cooperation with Africa returns to level seen during Soviet era,12,0.0
"Russia to take into account Japan’s source toward supporting Kiev, anti-Russian sanctions",https://tass.com/politics/2079531,"Fri, 30 Jan 2026 23:58:23 +0300",Russia to take into account Japans source toward supporting Kiev antiRussian sanctions,12,0.25
Russia to present battle-tested innovations at Saudi Arabia expo,https://tass.com/defense/2079529,"Fri, 30 Jan 2026 23:47:50 +0300",Russia to present battletested innovations at Saudi Arabia expo,9,0.0
Rosoboronexport's order portfolio exceeds $60 billion — CEO,https://tass.com/defense/2079527,"Fri, 30 Jan 2026 23:35:02 +0300",Rosoboronexports order portfolio exceeds 60 billion  CEO,7,0.0
Cuba declares ‘international emergency’ amid US threats,https://tass.com/world/2079525,"Fri, 30 Jan 2026 23:26:21 +0300",Cuba declares international emergency amid US threats,7,0.0
Putin praises Russian weapons as advanced and battle-tested,https://tass.com/politics/2079523,"Fri, 30 Jan 2026 23:25:40 +0300",Putin praises Russian weapons as advanced and battletested,8,0.2
US Justice Department announces release of all documents from Epstein case file,https://tass.com/world/2079521,"Fri, 30 Jan 2026 23:14:21 +0300",US Justice Department announces release of all documents from Epstein case file,12,0.0
Israel delivers 17 airstrikes on Hezbollah targets in southern Lebanon,https://tass.com/world/2079519,"Fri, 30 Jan 2026 23:13:39 +0300",Israel delivers 17 airstrikes on Hezbollah targets in southern Lebanon,10,0.0
Russia develops 340 military-technical cooperation projects with foreign countries — Putin,https://tass.com/politics/2079517,"Fri, 30 Jan 2026 23:05:07 +0300",Russia develops 340 militarytechnical cooperation projects with foreign countries  Putin,10,-0.125
Putin announces additional measures to support defense sector in 2026-2028,https://tass.com/politics/2079515,"Fri, 30 Jan 2026 23:04:22 +0300",Putin announces additional measures to support defense sector in 20262028,10,0.0
Putin sees prospects for closer defense cooperation with Africa,https://tass.com/economy/2079513,"Fri, 30 Jan 2026 22:47:14 +0300",Putin sees prospects for closer defense cooperation with Africa,9,0.0
"Russia honored all defense export contracts, with revenues above $15 bln — Putin",https://tass.com/economy/2079509,"Fri, 30 Jan 2026 22:45:53 +0300",Russia honored all defense export contracts with revenues above 15 bln  Putin,12,0.0
Russian defense exports to grow significantly in 2026 — Putin,https://tass.com/economy/2079507,"Fri, 30 Jan 2026 22:45:11 +0300",Russian defense exports to grow significantly in 2026  Putin,9,0.1875
Russia acquired sound portfolio of new defense export orders last year — Putin,https://tass.com/economy/2079501,"Fri, 30 Jan 2026 22:44:20 +0300",Russia acquired sound portfolio of new defense export orders last year  Putin,12,0.1787878787878788
Rafah border crossing to open in both directions on February 2,https://tass.com/world/2079485,"Fri, 30 Jan 2026 21:52:43 +0300",Rafah border crossing to open in both directions on February 2,11,0.0
Eurasian Economic Union to start free trade zone talks with four countries,https://tass.com/economy/2079461,"Fri, 30 Jan 2026 21:26:30 +0300",Eurasian Economic Union to start free trade zone talks with four countries,12,0.30000000000000004
Russian stock market indices in the red this Friday — market data,https://tass.com/economy/2079445,"Fri, 30 Jan 2026 20:46:50 +0300",Russian stock market indices in the red this Friday  market data,11,0.0
France needs at least 10 years to reach Russia's level in hypersonic weapons — expert,https://tass.com/world/2079435,"Fri, 30 Jan 2026 20:30:52 +0300",France needs at least 10 years to reach Russias level in hypersonic weapons  expert,14,-0.3
EU to replace Russian oil price cap by complete ban of marine transportation — Bloomberg,https://tass.com/economy/2079427,"Fri, 30 Jan 2026 20:24:32 +0300",EU to replace Russian oil price cap by complete ban of marine transportation  Bloomberg,14,0.05
Grinch tanker detained by French Navy has no connection with Russia — MFA,https://tass.com/politics/2079417,"Fri, 30 Jan 2026 20:14:06 +0300",Grinch tanker detained by French Navy has no connection with Russia  MFA,12,0.0
Energy ceasefire will change nothing for Kiev — former prime minister,https://tass.com/world/2079415,"Fri, 30 Jan 2026 20:13:01 +0300",Energy ceasefire will change nothing for Kiev  former prime minister,10,0.0
Guterres’ 'bizarre statement' and costly Russophobia: MFA spokeswoman’s statements,https://tass.com/politics/2079413,"Fri, 30 Jan 2026 20:11:10 +0300",Guterres bizarre statement and costly Russophobia MFA spokeswomans statements,9,0.4
"US-Iran conflict would devastate global economy, destabilize Middle East — expert",https://tass.com/world/2079407,"Fri, 30 Jan 2026 20:00:27 +0300",USIran conflict would devastate global economy destabilize Middle East  expert,10,0.0
Wheat to Cameroun shipped first time from Russian Baltic seaport,https://tass.com/economy/2079395,"Fri, 30 Jan 2026 19:36:31 +0300",Wheat to Cameroun shipped first time from Russian Baltic seaport,10,0.125
"Cocoa beans prices drop below $4,000 per ton on ICE first time since November 14, 2023",https://tass.com/economy/2079393,"Fri, 30 Jan 2026 19:26:38 +0300",Cocoa beans prices drop below 4000 per ton on ICE first time since November 14 2023,16,0.25
Europe rejects Zelensky's claims about delay in delivery of Patriot missiles — news agency,https://tass.com/world/2079391,"Fri, 30 Jan 2026 19:25:47 +0300",Europe rejects Zelenskys claims about delay in delivery of Patriot missiles  news agency,13,0.0
'Warnings' from West regarding vessel movements unacceptable — Russian MFA,https://tass.com/politics/2079389,"Fri, 30 Jan 2026 19:24:02 +0300",Warnings from West regarding vessel movements unacceptable  Russian MFA,9,0.0
"Ukraine, Europe should support Trump’s peace plan — Russian special envoy",https://tass.com/politics/2079387,"Fri, 30 Jan 2026 19:21:14 +0300",Ukraine Europe should support Trumps peace plan  Russian special envoy,10,0.17857142857142858
Current tensions within NATO should not be underestimated — Russian MFA,https://tass.com/politics/2079385,"Fri, 30 Jan 2026 19:19:12 +0300",Current tensions within NATO should not be underestimated  Russian MFA,10,0.0
Russia will ensure rights of gas exporters if EU violates agreements — MFA,https://tass.com/economy/2079383,"Fri, 30 Jan 2026 19:09:03 +0300",Russia will ensure rights of gas exporters if EU violates agreements  MFA,12,0.0
Ukraine’s admission to EU and NATO would lead to war with Russia — Orban,https://tass.com/world/2079381,"Fri, 30 Jan 2026 19:01:57 +0300",Ukraines admission to EU and NATO would lead to war with Russia  Orban,13,0.0
"Not only Ukraine, but also entire Western world losing to Russia — Internet entrepreneur",https://tass.com/world/2079379,"Fri, 30 Jan 2026 18:56:04 +0300",Not only Ukraine but also entire Western world losing to Russia  Internet entrepreneur,13,0.0
"Zelensky must comply with agreements reached by leaders of Russia, US — top lawmaker",https://tass.com/politics/2079375,"Fri, 30 Jan 2026 18:42:33 +0300",Zelensky must comply with agreements reached by leaders of Russia US  top lawmaker,13,0.5
"Russian fish, seafood exports to Japan gain 9% last year",https://tass.com/economy/2079373,"Fri, 30 Jan 2026 18:35:38 +0300",Russian fish seafood exports to Japan gain 9 last year,10,0.0
Bank of Russia lowers dollar-to-ruble rate from January 31 to 75.73 rubles,https://tass.com/economy/2079371,"Fri, 30 Jan 2026 18:32:39 +0300",Bank of Russia lowers dollartoruble rate from January 31 to 7573 rubles,12,0.0
Agricultural trade between Russia and UAE doubles in 3 years reaching $400 mln,https://tass.com/economy/2079367,"Fri, 30 Jan 2026 18:14:38 +0300",Agricultural trade between Russia and UAE doubles in 3 years reaching 400 mln,13,0.0
Zelensky's policy boils down to dragging out talks as long as possible — politician,https://tass.com/world/2079365,"Fri, 30 Jan 2026 18:12:31 +0300",Zelenskys policy boils down to dragging out talks as long as possible  politician,13,-0.06851851851851852
"Russia, India constantly upgrade BrahMos missiles — defense contractor",https://tass.com/defense/2079361,"Fri, 30 Jan 2026 18:10:02 +0300",Russia India constantly upgrade BrahMos missiles  defense contractor,8,0.0
US refusal to extend New START will not be disaster for Russia — MFA,https://tass.com/politics/2079359,"Fri, 30 Jan 2026 18:00:14 +0300",US refusal to extend New START will not be disaster for Russia  MFA,13,0.13636363636363635
Abramovich is not suspect in Deutsche Bank case — businessman’s spokesperson,https://tass.com/economy/2079357,"Fri, 30 Jan 2026 17:58:14 +0300",Abramovich is not suspect in Deutsche Bank case  businessmans spokesperson,10,0.0
"Previously doxed teenager says Mirotvorets database used to intimidate children, parents",https://tass.com/society/2079355,"Fri, 30 Jan 2026 17:56:10 +0300",Previously doxed teenager says Mirotvorets database used to intimidate children parents,11,-0.16666666666666666
Diplomat calls Western panic over risk of nuclear accidents in Ukraine 'far-fetched',https://tass.com/economy/2079353,"Fri, 30 Jan 2026 17:52:27 +0300",Diplomat calls Western panic over risk of nuclear accidents in Ukraine farfetched,12,0.0
Europe has withdrawn 80% of gas it pumped into storage facilities for heating season,https://tass.com/economy/2079349,"Fri, 30 Jan 2026 17:45:32 +0300",Europe has withdrawn 80 of gas it pumped into storage facilities for heating season,14,0.0
"Issue of Donbass, Crimea’s self-determination reveals UN’s double standards — diplomat",https://tass.com/politics/2079347,"Fri, 30 Jan 2026 17:35:55 +0300",Issue of Donbass Crimeas selfdetermination reveals UNs double standards  diplomat,10,0.0
Bank of Russia sets new requirements for payment equipment developers,https://tass.com/economy/2079343,"Fri, 30 Jan 2026 17:31:21 +0300",Bank of Russia sets new requirements for payment equipment developers,10,0.13636363636363635
"Almost all Russia's settlements with China, India conducted in national currencies — VTB",https://tass.com/economy/2079339,"Fri, 30 Jan 2026 17:30:21 +0300",Almost all Russias settlements with China India conducted in national currencies  VTB,12,0.0
"EU is party to Ukraine conflict, cannot monitor ceasefire — senior Russian diplomat",https://tass.com/politics/2079333,"Fri, 30 Jan 2026 17:17:03 +0300",EU is party to Ukraine conflict cannot monitor ceasefire  senior Russian diplomat,12,0.0
Share of G7 economies to decrease to 10% in coming decades — Russian official,https://tass.com/economy/2079331,"Fri, 30 Jan 2026 17:13:16 +0300",Share of G7 economies to decrease to 10 in coming decades  Russian official,13,0.0
Faulty piping caused incident on board Iranian vessel — official,https://tass.com/economy/2079327,"Fri, 30 Jan 2026 17:08:51 +0300",Faulty piping caused incident on board Iranian vessel  official,9,0.0
Presidential envoy touts Russia as potential data center haven,https://tass.com/politics/2079325,"Fri, 30 Jan 2026 17:07:41 +0300",Presidential envoy touts Russia as potential data center haven,9,-0.05
Russia considers current NATO policy in its defense planning — MFA,https://tass.com/politics/2079323,"Fri, 30 Jan 2026 17:05:35 +0300",Russia considers current NATO policy in its defense planning  MFA,10,0.0
"Russian composer Rybnikov settles Apple Music dispute, works return to platform",https://tass.com/society/2079319,"Fri, 30 Jan 2026 17:04:24 +0300",Russian composer Rybnikov settles Apple Music dispute works return to platform,11,0.0
"Kurdish institutions, army to merge with Syrian state apparatus",https://tass.com/world/2079313,"Fri, 30 Jan 2026 17:03:26 +0300",Kurdish institutions army to merge with Syrian state apparatus,9,0.0
Israel announces plan to open Rafah crossing on Gaza-Egypt border on February 1,https://tass.com/world/2079317,"Fri, 30 Jan 2026 17:02:44 +0300",Israel announces plan to open Rafah crossing on GazaEgypt border on February 1,13,0.0
Venezuelan-level betrayal should not be expected in Cuba — Russia's UN envoy,https://tass.com/politics/2079309,"Fri, 30 Jan 2026 16:47:26 +0300",Venezuelanlevel betrayal should not be expected in Cuba  Russias UN envoy,11,-0.1
Share of grain in Russian agricultural exports to decrease to 25% by 2030 — minister,https://tass.com/economy/2079307,"Fri, 30 Jan 2026 16:42:00 +0300",Share of grain in Russian agricultural exports to decrease to 25 by 2030  minister,14,0.0
UR-100N UTTKh missile service life to be extended by several years — developer,https://tass.com/defense/2079301,"Fri, 30 Jan 2026 16:38:01 +0300",UR100N UTTKh missile service life to be extended by several years  developer,12,0.0
NPO Mashinostroyeniya meets all orders from Russian Defense Ministry,https://tass.com/defense/2079297,"Fri, 30 Jan 2026 16:34:26 +0300",NPO Mashinostroyeniya meets all orders from Russian Defense Ministry,9,0.0
Minister estimates last year’s food exports from Russia at $41.5 bln,https://tass.com/economy/2079299,"Fri, 30 Jan 2026 16:32:43 +0300",Minister estimates last years food exports from Russia at 415 bln,11,0.0
"Russian envoy discusses Kiev’s hunt for medics, intensified attacks and manipulation at UN",https://tass.com/politics/2079293,"Fri, 30 Jan 2026 16:25:59 +0300",Russian envoy discusses Kievs hunt for medics intensified attacks and manipulation at UN,13,0.0
Russia to launch Kondor-FKA radar remote sensing satellites in 2029 and 2030,https://tass.com/science/2079289,"Fri, 30 Jan 2026 16:17:05 +0300",Russia to launch KondorFKA radar remote sensing satellites in 2029 and 2030,12,-0.1
Moving away from dependence on one industry is Chukotka's strategic task — governor,https://tass.com/economy/2079287,"Fri, 30 Jan 2026 16:14:48 +0300",Moving away from dependence on one industry is Chukotkas strategic task  governor,12,0.0
Putin signed law ratifying protocol to Eurasian Economic Union Agreement,https://tass.com/politics/2079285,"Fri, 30 Jan 2026 16:10:02 +0300",Putin signed law ratifying protocol to Eurasian Economic Union Agreement,10,0.2
FACTBOX: What is known about winning bid to acquire Domodedovo Airport,https://tass.com/economy/2079283,"Fri, 30 Jan 2026 16:06:01 +0300",FACTBOX What is known about winning bid to acquire Domodedovo Airport,11,0.5
"EU, NATO countries preparing for 'inevitable' confrontation with Russia — senior diplomat",https://tass.com/politics/2079281,"Fri, 30 Jan 2026 16:01:48 +0300",EU NATO countries preparing for inevitable confrontation with Russia  senior diplomat,11,0.0
IN BRIEF: What we know about current escalation around Iran,https://tass.com/world/2079279,"Fri, 30 Jan 2026 15:59:37 +0300",IN BRIEF What we know about current escalation around Iran,10,0.0
First power generating unit of Kursk plant reach 40% capacity — Rosenergoatom,https://tass.com/economy/2079277,"Fri, 30 Jan 2026 15:53:57 +0300",First power generating unit of Kursk plant reach 40 capacity  Rosenergoatom,11,0.25
"Rosatom delivered uranium, gold mining target for 2025",https://tass.com/economy/2079275,"Fri, 30 Jan 2026 15:52:06 +0300",Rosatom delivered uranium gold mining target for 2025,8,0.0
"Zelensky not ready for compromises on Donbass, Zaporozhye NPP",https://tass.com/world/2079267,"Fri, 30 Jan 2026 15:34:28 +0300",Zelensky not ready for compromises on Donbass Zaporozhye NPP,9,-0.1
"Gulf states try to prevent war between US, Iran — newspaper",https://tass.com/world/2079265,"Fri, 30 Jan 2026 15:32:21 +0300",Gulf states try to prevent war between US Iran  newspaper,10,0.0
Russian troops liberate seven communities in Ukraine operation over week — top brass,https://tass.com/politics/2079261,"Fri, 30 Jan 2026 15:22:13 +0300",Russian troops liberate seven communities in Ukraine operation over week  top brass,12,0.25
"NBC defense troops cadets complete training in use of UAVs, ground-based systems",https://tass.com/defense/2079259,"Fri, 30 Jan 2026 15:12:52 +0300",NBC defense troops cadets complete training in use of UAVs groundbased systems,12,0.1
"Kiev fired more than 130,000 munitions on Russian civilian targets last year — diplomat",https://tass.com/politics/2079253,"Fri, 30 Jan 2026 15:04:00 +0300",Kiev fired more than 130000 munitions on Russian civilian targets last year  diplomat,13,0.16666666666666666
Global economy shifts as new leaders emerge — VTB CEO,https://tass.com/economy/2079255,"Fri, 30 Jan 2026 15:02:50 +0300",Global economy shifts as new leaders emerge  VTB CEO,9,0.06818181818181818
Russia exports about 43 mln tons of fertilizers worth over $11 bln in 2025,https://tass.com/economy/2079249,"Fri, 30 Jan 2026 15:02:33 +0300",Russia exports about 43 mln tons of fertilizers worth over 11 bln in 2025,14,0.3
West rapidly undermines financial system by weaponizing it — Oreshkin,https://tass.com/economy/2079247,"Fri, 30 Jan 2026 15:01:24 +0300",West rapidly undermines financial system by weaponizing it  Oreshkin,9,0.0
Ukraine wants security guarantees before signing peace deal — Zelensky,https://tass.com/world/2079239,"Fri, 30 Jan 2026 14:53:19 +0300",Ukraine wants security guarantees before signing peace deal  Zelensky,9,0.2
"Zelensky asked for meeting with Putin, not the other way around — Kremlin",https://tass.com/politics/2079243,"Fri, 30 Jan 2026 14:51:13 +0300",Zelensky asked for meeting with Putin not the other way around  Kremlin,12,-0.125
Zelensky says there are no specific agreements with Russia on energy truce,https://tass.com/world/2079241,"Fri, 30 Jan 2026 14:48:46 +0300",Zelensky says there are no specific agreements with Russia on energy truce,12,0.0
Russia’s nuclear triad to gain new hypersonic component — expert,https://tass.com/defense/2079233,"Fri, 30 Jan 2026 14:42:14 +0300",Russias nuclear triad to gain new hypersonic component  expert,9,0.13636363636363635
Frontline situation speaks for itself — Kremlin,https://tass.com/politics/2079225,"Fri, 30 Jan 2026 14:27:30 +0300",Frontline situation speaks for itself  Kremlin,6,0.0
Trump asks Putin to refrain from striking Kiev until February 1 — Kremlin,https://tass.com/politics/2079223,"Fri, 30 Jan 2026 14:24:10 +0300",Trump asks Putin to refrain from striking Kiev until February 1  Kremlin,12,0.5
Atom electric car sales to start in April — commercial director,https://tass.com/economy/2079219,"Fri, 30 Jan 2026 14:22:03 +0300",Atom electric car sales to start in April  commercial director,10,0.0
Trump needs Russia in Board of Peace for its weight — ambassador to UN,https://tass.com/politics/2079217,"Fri, 30 Jan 2026 14:18:13 +0300",Trump needs Russia in Board of Peace for its weight  ambassador to UN,13,0.0
Russian Atom electric vehicle to be cheaper than Chinese counterparts,https://tass.com/economy/2079213,"Fri, 30 Jan 2026 14:11:18 +0300",Russian Atom electric vehicle to be cheaper than Chinese counterparts,10,0.0
Ukraine steps up attacks on civilians after Abu Dhabi talks — MFA,https://tass.com/politics/2079211,"Fri, 30 Jan 2026 14:10:43 +0300",Ukraine steps up attacks on civilians after Abu Dhabi talks  MFA,11,0.0
"Over 12,000 people killed since start of Kiev operation against Donbass — diplomat",https://tass.com/politics/2079209,"Fri, 30 Jan 2026 14:05:48 +0300",Over 12000 people killed since start of Kiev operation against Donbass  diplomat,12,-0.2
World's population will begin to decline in 2046 — Russian official,https://tass.com/society/2079205,"Fri, 30 Jan 2026 14:00:07 +0300",Worlds population will begin to decline in 2046  Russian official,10,0.0
Russia’s UN ambassador has no doubt US will achieve its goal in Greenland,https://tass.com/politics/2079201,"Fri, 30 Jan 2026 13:56:32 +0300",Russias UN ambassador has no doubt US will achieve its goal in Greenland,13,0.0
Prices of precious metals futures decrease,https://tass.com/economy/2079197,"Fri, 30 Jan 2026 13:53:49 +0300",Prices of precious metals futures decrease,6,0.5
